,parameters,training_rmse_0,training_rmse_1,training_rmse_2,training_rmse_3,training_rmse_4,valid_1_rmse_0,valid_1_rmse_1,valid_1_rmse_2,valid_1_rmse_3,valid_1_rmse_4,best_iterations_0,best_iterations_1,best_iterations_2,best_iterations_3,best_iterations_4,training_rmse_mean,valid_rmse_mean,best_iter_mean,overfit_flag
116,"{'early_stopping_rounds': 10, 'learning_rate': 0.5, 'min_data_in_leaf': 5000, 'num_leaves': 8, 'num_round': 50}",1786.901953928285,1794.6331441284378,1802.1220462023557,1804.1256040466462,1793.698451247272,1818.5115390350438,1821.6497219907326,1826.1541794239624,1812.7973177148176,1815.5227374740243,50,50,50,50,50,1796.2962399105993,1818.927099127716,50.0,22.630859217116722
117,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 50}",1800.0238823759826,1798.8022919775442,1798.7199704956115,1805.4389350785052,1799.8036371902826,1834.7425704888249,1836.634961375252,1846.9637681874392,1812.1453287564957,1838.8536570759297,50,50,50,50,50,1800.5577434235852,1833.868057176788,50.0,33.31031375320276
118,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 5000, 'num_leaves': 8, 'num_round': 200}",1832.8330663778206,1835.3346354193166,1832.1285530290086,1835.7854800651714,1834.9595858868709,1852.0915703109595,1846.6570753140038,1849.40970986422,1824.5177281874724,1851.9967510427452,200,200,200,200,200,1834.2082641556376,1844.9345669438803,200.0,10.72630278824272
119,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 5000, 'num_leaves': 8, 'num_round': 100}",1840.3309670083115,1836.6924079382363,1836.4379972681534,1838.485921381751,1835.4249637306973,1859.5585755164377,1846.599976178793,1853.6529984465178,1825.1753151583312,1853.5849505912881,100,100,100,100,100,1837.4744514654299,1847.7143631782735,100.0,10.23991171284365
120,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 5000, 'num_leaves': 8, 'num_round': 50}",1837.5503061319394,1849.9224920966865,1842.2070121977283,1848.0316625564958,1850.7925847436545,1855.3376152527856,1861.0898957190616,1858.9291715933534,1834.954186823361,1867.512022598352,50,50,50,50,50,1845.700811545301,1855.5645783973828,50.0,9.86376685208188
121,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 1000, 'num_leaves': 64, 'num_round': 50}",1828.369939747652,1827.2913694204835,1828.1302613519374,1832.4680165205286,1828.3248234544799,1859.527797846829,1859.9863573621776,1869.537100646135,1832.1864822901928,1861.5696890896081,50,50,50,50,50,1828.9168820990162,1856.5614854469884,50.0,27.64460334797218
122,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 5000, 'num_leaves': 32, 'num_round': 100}",1854.107806268271,1852.4343302839825,1851.0259314278117,1856.3587582960308,1853.5469300991838,1870.7902219684731,1869.9976049651175,1873.8296308954452,1844.684144757188,1875.206993994085,100,100,100,100,100,1853.4947512750562,1866.9017193160616,100.0,13.406968041005484
123,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 5000, 'num_leaves': 32, 'num_round': 50}",1853.706201526799,1858.2207782675628,1848.9143938172015,1857.2451806590354,1858.9748759247245,1868.7335284174792,1874.2276376641164,1872.1060575860183,1844.635411573821,1881.1164623421469,50,50,50,50,50,1855.4122860390646,1868.1638195167166,50.0,12.751533477651947
124,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 5000, 'num_leaves': 64, 'num_round': 100}",1856.8546316336872,1852.4223646735097,1854.1275720399317,1859.4524224928143,1853.5187449128857,1873.6365167039721,1870.2890347977504,1877.4633026035185,1847.1578009254183,1875.6244525388997,100,100,100,100,100,1855.2751471505658,1868.8342215139116,100.0,13.559074363345871
125,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 5000, 'num_leaves': 64, 'num_round': 50}",1858.1875676989102,1859.2186663271077,1851.1190487059337,1858.0301260336341,1852.9375619350947,1873.0541032613303,1875.1382514455167,1874.460156870583,1845.962384422432,1876.4366819411073,50,50,50,50,50,1855.8985941401359,1869.010315588194,50.0,13.111721448058233
